text,file,score,unique_char_score,difficulty_index,difficulty_level,exercise_id
hhh hhh hhh hhh ggg ggg ggg ggg hhh ggg hhh ggg hhh ggg hgh hgh hgh hgh ghg ghg ghg ghg hhh hhh hhh ggg ggg ggg hg hg hg gh gh gh hh gg hg gh gh hg hh hg gg gh h h h h g g g g h g g h h g g h hgh hhg ghh ggh hgg ggg hhh ghg,home_row_lesson.json,781,11,0.0,Beginner,1
jjj jjj jjj jjj kkk kkk kkk kkk jjj kkk jjj kkk jjj kkk jkj jkj jkj jkj kjk kjk kjk kjk jjj jjj jjj kkk kkk kkk jk jk jk kj kj kj jj kk jk kj kj jk jj jk kk kj j j j j k k k k j k k j j k k j jkj jjk kjj kkj jkk kkk jjj kjk,home_row_lesson.json,859,12,0.029882005899705015,Beginner,2
fff fff fff fff ddd ddd ddd ddd fff ddd fff ddd fff ddd fdf fdf fdf fdf dfd dfd dfd dfd fff fff fff ddd ddd ddd fd fd fd df df df ff dd fd df df fd ff fd dd df f f f f d d d d f d d f f d d f fdf ffd dff ddf fdd ddd fff dfd,home_row_lesson.json,859,12,0.029882005899705015,Beginner,3
hhh hhh ggg ggg hhh ggg jjj jjj fff fff jjj fff hhh jjj ggg fff ggg fff jjj hhh fff jjj ggg hhh hgh hgh ghg ghg jfj jfj fjf fjf h g j f h g j f hgjf hgjf hfgj hfgj hhh ggg jjj fff hgh hjh hfh ghg gjg gfg jhj jgj jfj hh hg hj hf gh gg gj gf jh jg jj jf fh fg fj ff,home_row_lesson.json,886,15,0.04907193101883368,Beginner,4
yyy yyy yyy yyy ttt ttt ttt ttt yyy ttt yyy ttt yyy ttt yty yty yty yty tyt tyt tyt tyt yyy yyy yyy ttt ttt ttt yt yt yt ty ty ty yy tt yt ty ty yt yy yt tt ty y y y y t t t t y t t y y t t y yty yyt tyy tty ytt ttt yyy tyt,top_row_lesson.json,937,13,0.05976401179941003,Beginner,5
uuu uuu uuu uuu rrr rrr rrr rrr uuu rrr uuu rrr uuu rrr uru uru uru uru rur rur rur rur uuu uuu uuu rrr rrr rrr ur ur ur ru ru ru uu rr ur ru ru ur uu ur rr ru u u u u r r r r u r r u u r r u uru uur ruu rru urr rrr uuu rur,top_row_lesson.json,937,13,0.05976401179941003,Beginner,6
nnn nnn nnn nnn bbb bbb bbb bbb nnn bbb nnn bbb nnn bbb nbn nbn nbn nbn bnb bnb bnb bnb nnn nnn nnn bbb bbb bbb nb nb nb bn bn bn nn bb nb bn bn nb nn nb bb bn n n n n b b b b n b b n n b b n nbn nnb bnn bbn nbb bbb nnn bnb,bottom_row_lesson.json,1093,15,0.11952802359882006,Beginner,7
mmm mmm mmm mmm vvv vvv vvv vvv mmm vvv mmm vvv mmm vvv mvm mvm mvm mvm vmv vmv vmv vmv mmm mmm mmm vvv vvv vvv mv mv mv vm vm vm mm vv mv vm vm mv mm mv vv vm m m m m v v v v m v v m m v v m mvm mmv vmm vvm mvv vvv mmm vmv,bottom_row_lesson.json,1093,15,0.11952802359882006,Beginner,8
iii iii iii iii eee eee eee eee iii eee iii eee iii eee iei iei iei iei eie eie eie eie iii iii iii eee eee eee ie ie ie ei ei ei ii ee ie ei ei ie ii ie ee ei i i i i e e e e i e e i i e e i iei iie eii eei iee eee iii eie,top_row_lesson.json,1093,15,0.11952802359882006,Beginner,9
sss sss sss sss aaa aaa aaa aaa sss aaa sss aaa sss aaa sas sas sas sas asa asa asa asa sss sss sss aaa aaa aaa sa sa sa as as as ss aa sa as as sa ss sa aa as s s s s a a a a s a a s s a a s sas ssa aas saa aaa sss asa,home_row_lesson.json,1151,16,0.14260267755842976,Beginner,10
